"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/1984","224.67","224.67","224.67","224.67","","-0.43%"
"03/23/1984","225.63","225.63","225.63","225.63","","-0.36%"
"03/22/1984","226.45","226.45","226.45","226.45","","-0.15%"
"03/21/1984","226.80","226.80","226.80","226.80","","0.35%"
"03/20/1984","226.00","226.00","226.00","226.00","","0.09%"
"03/19/1984","225.80","225.80","225.80","225.80","","-0.02%"
"03/16/1984","225.85","225.85","225.85","225.85","","0.78%"
"03/15/1984","224.10","224.10","224.10","224.10","","0.18%"
"03/14/1984","223.70","223.70","223.70","223.70","","0.25%"
"03/13/1984","223.15","223.15","223.15","223.15","","-0.75%"
"03/12/1984","224.83","224.83","224.83","224.83","","0.01%"
"03/09/1984","224.80","224.80","224.80","224.80","","0.11%"
"03/08/1984","224.55","224.55","224.55","224.55","","0.58%"
"03/07/1984","223.25","223.25","223.25","223.25","","-0.04%"
"03/06/1984","223.35","223.35","223.35","223.35","","0.00%"
"03/05/1984","223.35","223.35","223.35","223.35","","-2.13%"
"03/02/1984","228.20","228.20","228.20","228.20","","-2.24%"
"03/01/1984","233.43","233.43","233.43","233.43","","0.00%"
"02/29/1984","233.43","233.43","233.43","233.43","","-0.04%"
"02/28/1984","233.52","233.52","233.52","233.52","","0.09%"
"02/27/1984","233.30","233.30","233.30","233.30","","0.04%"
"02/24/1984","233.20","233.20","233.20","233.20","","-0.17%"
"02/23/1984","233.60","233.60","233.60","233.60","","0.17%"
"02/22/1984","233.20","233.20","233.20","233.20","","-0.38%"
"02/21/1984","234.10","234.10","234.10","234.10","","0.00%"
"02/20/1984","234.10","234.10","234.10","234.10","","0.39%"
"02/17/1984","233.20","233.20","233.20","233.20","","0.15%"
"02/16/1984","232.85","232.85","232.85","232.85","","-0.15%"
"02/15/1984","233.20","233.20","233.20","233.20","","-0.32%"
"02/14/1984","233.95","233.95","233.95","233.95","","0.32%"
"02/13/1984","233.20","233.20","233.20","233.20","","-0.60%"
"02/10/1984","234.60","234.60","234.60","234.60","","0.31%"
"02/09/1984","233.88","233.88","233.88","233.88","","-0.12%"
"02/08/1984","234.15","234.15","234.15","234.15","","-0.15%"
"02/07/1984","234.50","234.50","234.50","234.50","","0.60%"
"02/06/1984","233.10","233.10","233.10","233.10","","0.17%"
"02/03/1984","232.70","232.70","232.70","232.70","","-0.39%"
"02/02/1984","233.60","233.60","233.60","233.60","","-0.28%"
"02/01/1984","234.25","234.25","234.25","234.25","","-0.18%"
"01/31/1984","234.67","234.67","234.67","234.67","","0.04%"
"01/30/1984","234.58","234.58","234.58","234.58","","0.13%"
"01/27/1984","234.28","234.28","234.28","234.28","","0.08%"
"01/26/1984","234.10","234.10","234.10","234.10","","-0.04%"
"01/25/1984","234.20","234.20","234.20","234.20","","-0.06%"
"01/24/1984","234.35","234.35","234.35","234.35","","0.21%"
"01/23/1984","233.85","233.85","233.85","233.85","","-0.28%"
"01/20/1984","234.50","234.50","234.50","234.50","","0.49%"
"01/19/1984","233.35","233.35","233.35","233.35","","-0.11%"
"01/18/1984","233.60","233.60","233.60","233.60","","-0.29%"
"01/17/1984","234.28","234.28","234.28","234.28","","0.42%"
"01/16/1984","233.30","233.30","233.30","233.30","","-0.04%"
"01/13/1984","233.40","233.40","233.40","233.40","","-0.63%"
"01/12/1984","234.87","234.87","234.87","234.87","","0.18%"
"01/11/1984","234.45","234.45","234.45","234.45","","0.43%"
"01/10/1984","233.45","233.45","233.45","233.45","","0.06%"
"01/09/1984","233.30","233.30","233.30","233.30","","0.26%"
